keys,en,es
menu_title,CONTROL SETTINGS,AJUSTES CONTROLES
section_title_control_scheme,CONTROL SCHEME,ESQUEMA DE CONTROL
control_scheme_default,DEFAULT,POR DEFECTO
control_scheme_right,RIGHT HAND,Mano Derecha
control_scheme_left,LEFT HAND,Mano Izquierda
reset_changes,Reset Changes,Resetear Cambios
movement,MOVEMENT,MOVIMIENTO
keyboard,Keyboard,Teclado
joystick_left,Left,Izquierdo
joystick_right,Right,Derecho
invert_direction,Invert direction,Invertir dirección
move_up,Move up,Mover Arriba
move_down,Move down,Mover Abajo
move_left,Move left,Mover Izquierda
move_right,Move right,Mover Derecha
interaction,INTERACTIONS,INTERACCIONES
jump,Jump,Saltar
launch_item,Throw item,Lanzar Bellota
press_key,Press a key…,Pulsa una tecla…
save_changes,Save Changes,Guardar Cambios
unsaved_changes,You have unsaved changes.\nDo you want to close the menu?,Tienes cambios sin guardar.\n¿Quieres cerrar el menú?
unsaved_go_back,Go back to menu,Volver al menú
unsaved_save_changes,Save changes and exit,Guardar cambios y cerrar
unsaved_exit,Exit without saving,Salir sin guardar cambios
error_same_input,Two or more actions have the same input configured,Dos o más acciones tienen el mismo control asignado
"Gato: ""¿Zeta me está retando a un combate?""","Gato: ""Is Zeta challenging me to a duel?""","Gato: ""¿Zeta me está retando a un combate?"""
"Gato: ""¡Ya sé, me apoyaré en el Text to Speech para derrotarlo!""","Gato: ""I know! I’ll use Text to Speech to defeat him!""","Gato: ""¡Ya sé, me apoyaré en el Text to Speech para derrotarlo!"""
"Gato: ""¡Oye Zeta, devuelve esas bellotas!""","Gato: ""Hey Zeta, give me back the acorns!""","Gato: ""¡Oye Zeta, devuelve esas bellotas!"""
"Zeta: ""Ja, ja, ja, atrévete a quitármelas si es que puedes…""","Zeta: ""Ha, ha, ha, try to take them from me if you can…""","Zeta: ""Ja, ja, ja, atrévete a quitármelas si es que puedes…"""
